FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN,ROMANIAN
Form39,Frame1,宣伝するメディア,Advertising,,Werbung,Publicitate
Form39,Option6,ダイレクトメール,Direct Mail,,Postwerbung,Po?t? Direct?
Form39,Option5,映画の前に流す,Show Ad in Theaters,,Werbung in Kinos,Afi?eaz? Publicitate �n Teatre
Form39,Option4,テレビコマーシャル,TV Commercial,,TV-Werbung,Publicitate TV
Form39,Option3,ホームページ制作,Online Ads,,Online-Werbung,Anun?uri Online
Form39,Option2,新聞に載せる,Place Ad in Newspaper,,Werbung in Zeitungen,Plaseaz? Anun? �n Ziar
Form39,Option1,ポスターを貼る,Put Up Poster,,Poster aufstellen,Pune Afi?e
Form39,Command2,やめる,Cancel,,Abbrechen,Anuleaz?
Form39,Command1,決定,OK,,OK,OK
Form39,Label3,お店の宣伝を行います ,Promote Shop,,Den Laden werben,Promovare Libr?rie
Form44,Form44,ダイレクトメール,Direct Mail,,Postwerbung,Po?t? Direct?
Form44,Command1,やめる,Stop,,Stop,Stop
Form44,Command2,決定,OK,,OK,OK
Form44,Frame1,送る数,Number to send,,Zu sendende Zahl,Num?r de trimis
Form44,Option1,通,No.,,Nummer,Nu.
Form44,Label5,残金,Balance,,Guthaben,Balan??
Form44,Label5,費用,Expenses,,Ausgaben,Cheltuieli
Form44,Label5,資金,Funds,,Geldmittel,Finan?are
Form44,Label3,ダイレクトメールを送ります ,Send direct mail,,Direktsendung senden,Trimitere po?t? direct?
Form41,Form41,お店の詳細情報,Shop's Detailed Info,,Detailierte Ladeninfo,Informa?ii Detaliate ale Libr?riei
Form41,Frame1,パラメータ,Parameters,,Parameter,Parametrii
Form41,Label1,人気,Popularity,,Popularität,Popularitate
Form41,Label1,耐震度,Seismic Resistance,,seismischer Widerstand,Rezisten?? Seismic?
Form41,Label1,よごれ,Filthiness,,Schmutz,Murd?rie
Form41,Label1,知名度,Reputation,,Ruf,Reputa?ie
Form41,Label1,お店規模,Store Size,,Ladengröße,M?rime Libr?rie
Form41,Label1,時,Hour,,Stunde,Or?
Form41,Label2,日曜日,Sunday,,Sonntag,Duminic?
Form41,Label1,日,Day,,Tag,Zi
Form41,Label1,月,Month,,Monat,Lun?
Form41,Label1,年,Year,,Jahr,An
Form41,Label1,星の数,Rating,,Bewertung,Recenzii
Form41,Label1,資金,Funds,,Geldmittel,Finan?are
Form41,Label1,本屋の名前,Bookstore Name,,Bücherladen-Name,Numele Libr?riei
Form43,Form43,宣伝映画製作,Promotional Film Production,,Werbefilmproduktion,Producerea unui Film de Promovare
Form43,Frame1,製作者,Producer,,Produzent,Produc?tor
Form43,Option3,有名映画監督に頼む,Hire Famous Director,,Berühmten Regisseur anheuern,Angajeaz? Regizor Faimos
Form43,Option2,CM制作会社に頼む,Ask An Advertising Company,,Eine Werbefirma fragen,�ntreab? o Companie de Publicitate
Form43,Option1,自主制作する,Produce Independently ,,Unabhängig produzieren,Produ Independent
Form43,Command2,決定,OK,,OK,OK
Form43,Command1,やめる,Cancel,,Abbrechen,Anuleaz?
Form43,Label5,資金,Funds,,Geldmittel,Finan?are
Form43,Label5,費用,Expenses,,Ausgaben,Cheltuieli
Form43,Label5,残金,Balance,,Guthaben,Balan??
Form43,Label3,宣伝映画を制作します ,Make Promotional Film,,Einen Werbefilm drehen,Produ Film Publicitar
Form42,Form42,テレビコマーシャル,Television Commerical ,,Fernsehwerbung,Publicitate TV
Form42,Frame1,製作者,Producer,,Produzent,Produc?tor
Form42,Option3,有名映画監督に頼む,Hire Famous Director,,Berühmten Regisseur anheuern,Angajeaz? Regizor Faimos
Form42,Option2,CM制作会社に頼む,Ask An Advertising Company,,Eine Werbefirma fragen,�ntreab? o Companie de Publicitate
Form42,Option1,自主制作する,Produce Independently ,,Unabhängig produzieren,Produ Independent
Form42,Command2,決定,OK,,OK,OK
Form42,Command1,やめる,Cancel,,Abbrechen,Anuleaz?
Form42,Label5,資金,Funds,,Geldmittel,Finan?are
Form42,Label5,費用,Expenses,,Ausgaben,Cheltuieli
Form42,Label5,残金,Balance,,Guthaben,Balan??
Form42,Label3,テレビコマーシャル制作  ,Create Television Commercial,,Fernsehwerbung erstellen,Creeaz? Publicitate TV
Form40,Form40,ポスターを貼る,Put Up Poster,,Poster aufstellen,Pune Afi?
Form40,Command1,やめる,Cancel,,Abbrechen,Anuleaz?
Form40,Command2,決定,OK,,OK,OK
Form40,Frame1,貼る枚数,Qty to put up:,,Wieviele aufstellen:,Cantitate de a pune:
Form40,Option1,枚,Posters,,Poster,Afi?e
Form40,Label5,残金,Balance,,Guthaben,Balan??
Form40,Label5,費用,Expenses,,Ausgaben,Cheltuieli
Form40,Label5,資金,Funds,,Geldmittel,Finan?are
Form40,Label3,ポスターを貼ります  ,Put Up Posters,,Poster aufstellen,Pune Afi?e
Form45,Form45,お店のサービス,Manager's Special,,Manager-Spezial,Specialul Manager-ului
Form45,Frame3,ポスター取り扱い,Poster Management,,Poster-Management,Management Afi?
Form45,Option5,取り扱う,Handle,,Bearbeiten,Ocup?-te
Form45,Option6,取り扱わない,Do not handle,,Nicht bearbeiten,Nu te ocupa
Form45,Frame2,宅配便受付,Accept Package Delivery,,Paketlieferung akzeptieren,Accept? Livrare Pachet
Form45,Option4,受付しない,Do Not Accept,,Nicht akzeptieren,Nu Accepta
Form45,Option3,受付する,Accept Package Delivery,,Paketlieferung akzeptieren,Accept? Livrare Pachet
Form45,Frame1,写真現像受付,Photo Development Desk,,Fotoentwicklung,Birou de Dezvoltare a Fotografiilor
Form45,Option2,受付しない,Not accepting reservations,,Reservierungen werden nicht akzeptiert,Nu accept?m rezerv?ri
Form45,Option1,受付する,Accepting reservations,,Reservierungen akzeptiert,Accept?m rezerv?ri
Form45,Frame4,図書券の取り扱い,Handle Coupons,,Coupons bearbeiten,Ocup?-te de Cupoane
Form45,Option8,取り扱わない,Do not handle,,Nicht bearbeiten,Nu te ocupa
Form45,Option7,取り扱う,Handle,,Bearbeiten,Ocup?-te
Form45,Label1,ポスター1枚につき1000円の利益です。,1000 Yen Profit Per Poster / Month,,1000 Yen Profit je Poster / Monat,1000 Yen Profit pe Afi? / Lun?
Form45,Label1,費用 月 2万円,2000 Yen Profit Per Poster / Month,,2000 Yen Profit je Poster / Monat,2000 Yen Profit pe Afi? / Lun?
Form45,Label1,費用 月 2万円,Costs 20000 Yen Per Month,,Kostet 20000 Yen pro Monat,Cost? 20000 de Yen pe Lun?
Form45,Label1,配達物1つにつき1000円の利益です。,10000 yen profit per delivery,,10000 Yen Profit je Lieferung,10000 de yen profit pe livrare
Form45,Label1,費用 月 2万円,Cost 20000 Yen per month,,Kostet 20000 Yen pro Monat,Cost? 20000 de Yen pe lun?
Form45,LAbel1,フィルム1本につき800円の利益です。,800 yen profit per film,,800 Yen Profit je Film,800 yen profit pe film
Form45,Label1,費用 月 2万円,Cost 20000 Yen per month,,Kostet 20000 Yen pro Monat,Cost? 20000 de Yen pe lun?
Form45,Label1,図書券 1枚につき 500円の利益です。,500 yen profit per book voucher,,500 Yen Profit je Buchgutschein,500 yen profit pe voucher de carte
Form45,Command2,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form45,Command1,決定,OK,,OK,OK
Form45,Label3,お店のサービスです  ,Store's Services,,Ladenservices,Serviciile Libr?riei
Form46,Form46,店員から,Store Clerk,,Ladenverkäufer,Casier Libr?rie
Form47,Form47,被害報告,Damage Report,,Schadensbericht,Raport de Daune
Form47,Command1,閉じる,Close,,Schließen,�nchide
Form47,Label,被害報告です ,Damage Report,,Schadensbericht,Raport de Daune
Form48,Form48,業界新聞,Industry Newspaper,,Industriezeitung,Ziar de Industrie
Form48,Label8,8月55日,August 55th,,55. August,55 August
Form48,Label6,最近の業界,Right now in the business world,,Jetzt in der Businesswelt,Acum �n lumea business-ului
Form48,Label5,今月のお店,Store of the month,,Laden des Monats,Libr?ria lunii
Form48,Label4,雑誌TOP10,Top 10 Magazines,,Top 10 Zeitschriften,Top 10 Reviste
Form48,Label2,書籍TOP10,Top 10 Books,,Top 10 Bücher,Top 10 C?r?i
Form48,Command1,閉じる,Close,,Schließen,�nchide
Form48,Label1,読みたい見出しを押してください,Click the headlines you want to read,,"Klicke die Schlagzeilen an, die du lesen möchtest",Apas? pe titlurile pe care dore?ti s? le cite?ti
Form48,Label3,業界新聞です,This is the Business World News,,Das sind die Business World News,Acestea sunt ?tirile Mondiale ale Business-ului
Form50,Form50,雑誌売り上げトップ10,Top 10  Popular Magazines,,Top 10 beliebteste Zeitschriften,Top 10 Reviste Populare
Form50,Label4,ほんのなめ,Name of Book,,Name des Buches,Numele C?r?ii
Form50,Label5,円,Yen,,Yen,Yen
Form50,Label1,価格,Price,,Preis,Pre?
Form50,Label1,雑誌名,Magazine Title,,Zeitschrift-Titel,Titlu Revist?
Form50,Label1,順位,Ranking,,Platzierung,Clasament
Form50,Label3,雑誌の売り上げトップ10,Top 10 Most Popuar Magazines,,Top 10 meistbeliebteste Zeitschriften,Top 10 Cele Mai Populare Reviste
Form49,Form49,書籍売り上げトップ10,Top 10 Most Popuar Books,,Top 10 meistbeliebteste Bücher,Top 10 Cele Mai Populare C?r?i
Form49,Label5,円,Yen,,Yen,Yen
Form49,Label4,ほんのなめ,,Just lick (??) - might be placeholder,,
Form49,Label1,順位,Ranking,,Platzierung,Clasament
Form49,Label1,雑誌名,Magazine Name,,Zeitschrift-Name,Numele Revistei
Form49,Label1,価格,Price,,Preis,Pre?
Form49,Label3,書籍の売り上げトップ10  ,Top 10 Most Popular Books,,Top 10 beliebteste Bücher,Top 10 Cele Mai Populare C?r?i
Form53,Form53,トップニュース,Top News,,Top News,Top News
Form53,Label3,トップニュース ,Top News,,Top News,Top News
Form51,Form51,今月のお店,Store of the Month,,Laden des Monats,Libr?ria Lunii
Form51,Label3,今月のお店,Store of the Month,,Laden des Monats,Libr?ria Lunii
Form52,Form52,最近の業界,Recent Industry News,,Aktuelle Branchennachrichten,?tirile Recente ale Industriei
Form52,Label3,最近の業界,Recent Industry News,,Aktuelle Branchennachrichten,?tirile Recente ale Industriei
Form54,Form54,星の数アップ,Rating Increase,,Bewertungssteigerung,Cre?tere Recenzie
Form54,Label1,全日本本屋協会,All Japan Booksellers Association,,Nationaler Verband der Buchhändler,Asocia?ia Na?ional? a V�nz?torilor de C?r?i
Form54,Label1,の数が1つふえました。,for additional stars,,für zusätzliche Sterne,pentru stele �n plus
Form54,Label1,プの条件を満たしたため、星,becuase it fulfills the requirements,,weil es die Anforderungen erfüllt,deoarece �ndepline?te criteriile
Form54,Label1,あなたのお店は、星の数アッ,Your store got another star,,Dein Laden hat einen weiteren Stern bekommen,Libr?ria ta a primit o stea �n plus
Form54,Command1,閉じる,Close,,Schließen,�nchide
Form54,Label3,星の数がアップしました,Rating Increase,,Bewertungssteigerung,Cre?tere Recenzie
Form55,Form55,設定,Settings,,Einstellungen,Set?ri
Form55,Frame1,月末などのウインドウを自動で閉じる速度,Speed of Store Closing,,Geschwindigkeit der Ladenschließung,Viteza �nchiderii Libr?riei
Form55,Check2,自動では閉じない,Don't Close Automatically,,Nicht automatisch schließen,Nu �nchide Automat
Form55,Check1,店員からのメッセージの表示,Show messages from employees,,Zeige Nachrichten von Angestellten,Afi?eaz? mesaje de la angaja?i
Form55,Command2,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form55,Command1,決定,OK,,OK,OK
Form55,Label3,設定,Settings,,Einstellungen,Set?ri
Form56,Form56,サービス備品,Service equipment,,Service-Ausrüstung,Echipament service
Form56,Command1,設置,Set up,,Setup,Setare
Form56,Command2,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form56,Label1,価格,Price,,Preis,Pre?
Form56,Label2,内容,Content,,Inhalt,Con?inut
Form56,Label,円,Yen,,Yen,Yen
Form56,Label3,サービス備品設置,Service equipment installation,,Service-Ausrüstungsinstallation,Instalare echipament service
Form57,Form57,サービス備品情報,Service equipment info,,Service-Ausrüstungsinfo,Info echipament service
Form57,Command2,閉じる,Close,,Schließen,�nchide
Form57,Command1,撤去,Withdraw,,Entziehen,Retrage
Form57,Label1,価格,Price,,Preis,Pre?
Form57,Label1,内容,Contents,,Inhalt,Con?inut
Form57,Label3,サービス備品の情報です,Service Equipment Info,,Service-Ausrüstung-Info,Info Echipament Service
Form58,Form58,グランプリ獲得,Adquisition Grand Prix,,Gewinne den Grand-Prix,Achizi?ionare Grand Prix
Form58,Command1,閉じる,Close,,Schließen,�nchide
Form58,Label1,ます。,,,,
Form58,Label1,賞金1000万円とこの表彰状をおくります,we will send you a 10 million yen prize and this certificate,,Wir senden dir einen Preis von 10 Mio. Yen und dieses Zertifikat,�?i vom trimite un premiu de 10 millioane de yen ?i acest certificat
Form58,Label1,ストでグランプリを獲得しましたので,in the All Japan Book Store Contest,,im Nationalen Buchladenwettbewerb,�n Competi?ia Na?ional? a Libr?riilor
Form58,Label1,あなたのお店は全日本本屋コンテ,Your store has won the Grand Prix,,Dein Laden hat den Grand Prix gewonnen!,Libr?ria ta a c�?tigat Grand Prix-ul
Form58,Label1,グランプリ,Grand Prix,,Grand Prix,Grand Prix
Form58,Font,ＭＳ 明朝,MS Mincho,,MS Mincho,MS Mincho
Form58,Label1,全日本本屋協会,Japan National Bookstore Association,,Japanischer Verband der Buchhändler,Asocia?ia Japonez? a V�nz?torilor de C?r?i
Form58,Label3,グランプリ獲得 ,Grand Prix Winner,,Grand-Prix-Sieger,C�?tig?torul de Grand Prix
Form59,Form59,今月の入荷スケジュール,This month's arrivals,,Diesmonatige Ankünfte,Sosirile acestei luni
Form59,label1,合計費用,Expenses,,Ausgaben,Cheltuieli
Form59,Label1,入荷数,Arrivals,,Ankünfte,Sosiri
Form59,Label1,月,Month,,Monat,Lun?
Form59,Label1,入荷名,Arrival Name,,Ankunftsname,Numele Sosirii
Form61,Form61,保険がおりました,Insurance Money Received,,Versicherungsgeld erhalten,Bani Primi?i de Asigurare
Form61,Command1,閉じる,Close,,Schließen,�nchide
Form61,Label3,保険金がおりました,Insurance Money Received,,Versicherungsgeld erhalten,Bani Primi?i de Asigurare
Form62,Form62,立ち読み対策,Prevention for reading without buying,,Verhindere das Lesen ohne Kauf,Preven?ie de citire f?r? achizi?ionare
Form62,Command2,やめる,Cancel,,Abbrechen,Anuleaz?
Form62,Command1,決定,OK,,OK,OK
Form62,Option3,これにする,Choose this,,Dies auswählen.,Alege asta
Form62,Label1,すべての本を、立ち読みできないようにする,Prohibit reading in-store without buying,,Verbiete das Lesen der Bücher im Laden ohne sie zu kaufen,Interzice cititul �n libr?rie f?r? achizi?ionare
Form62,Option2,これにする,Choose this,,Dies auswählen.,Alege asta
Form62,Label1, 一冊だけ立読みできて、他はできないようにする。,Allow customers to read up to 1 book in-store before asking them to pay.,,"Erlaube es Kunden, ein Buch gratis zu lesen, bevor sie zahlen müssen.",Permite clien?ilor s? citeasc? maxim o carte �n libr?rie �nainte de a le cere s? pl?teasc?
Form62,Option1,これにする,Choose this,,Dies auswählen.,Alege asta
Form62,Label1,  すべての本を自由に読めるようにする。,Allow customers to read anything at will,,"Erlaube es Kunden, alles nach Belieben zu lesen",Permite clien?ilor s? citeasc? orice
Form62,Label3,お店の立読み対策を決定します ,Select store policy about reading books in-store,,Wähle Ladenbeschluss über das Lesen der Bücher im Laden,Seteaz? regulile depre citirea c?r?ilor �n libr?rie
Form63,Form63,お客さんの文句,Customer Complaints,,Kundenbeschwerden,Reclama?ii Clien?i
Form63,Command1,閉じる,Close,,Schließen,�nchide
Form63,Label1,この前買った本が、汚かったぞ！,The book I bought earlier was filthy!,,"Das Buch, welches ich vorher gekauft habe, ist dreckig!",Cartea care am cump?rat-o mai devreme era murdar?!
Form63,Label2,立読み対策をしてください,Take measures so that people don't read without paying,,"Tu etwas dagegen, dass Kunden ohne Zahlen die Bücher lesen.",Ia m?suri a?a fel �nc�t clien?ii s? nu citeasc? f?r? a pl?ti
Form63,Label3,お客さんが文句を言っています ,A customer is complaining,,Ein Kunde beschwert sich,Un client face o reclama?ie
Form64,Form64,消えました,The fire is out,,Das Feuer ist ausgegangen,Focul s-a stins
Form64,Label1,火事は、すべてを焼きつくし鎮火しました・・・,"The fire burned everything, then died out...",,Das Feuer hat alles zerstört und ist ausgegangen…,"Focul a ars totul, apoi s-a stins..."
Form64,Command1,閉じる,Close,,Das war knapp!,�nchide
Form65,Form65,火事発見,Fire!,,Feuer!,Foc!
Form65,Command1,閉じる,Close,,Das war knapp!,�nchide
Form65,Label1,近所の住民が火事を発見しました！,Your neighbors have spotted a fire!,,Die Nachbarn haben ein Feuer entdeckt!,Vecinii t?i au v?zut un foc!
Form66,Form66,消えました,Fire went out...phew,,Feuer wurde gelöscht...puh,Focul s-a stins... phew
Form66,Command1,閉じる,Close,,Schließen,�nchide
Form66,Label1,消防車を呼び火事は鎮火しました。,Fire trucks were called and the fire was extinguished.,,Feuerwehrwägen wurden gerufen und das Feuer wurde gelöscht.,Pompierii au fost chema?i iar focul a fost stins.
MDIForm1,MMenu,メニュー(&M),Menu (M),,Menü (M),Meniu (M)
MDIForm1,MNewGame,新しくはじめる(&N),Start New (N),,Neues Spiel starten (N),�ncepe un Joc Nou (N)
MDIForm1,MSave,ゲームの保存(&S),Save Game (S),,Speichern (S),Salveaz? Joc (S)
MDIForm1,MLoad,ゲームの読込(&L),Load Game (L),,Spiel laden (L),�ncarc? Joc (L)
MDIForm1,MEnd,ゲーム終了(&E),Quit Game (E),,Spiel verlassen (E),P?r?se?te Joc (E)
MDIForm1,MAction,行動(&A),Action (A),,Aktion (A),Ac?iune (A)
MDIForm1,MNyuukaH,入荷変更(&H),Change Books In Stock (H),,Ändere die Bücher auf Lager (H),Schimb? C?r?ile �n Stoc (H)
MDIForm1,MBookIn,入荷雑誌変更(&I),Change Magazines In Stock (L),,Ändere die Zeitschriften auf Lager (L),Schimb? Revistele �n Stoc (L)
MDIForm1,MSysoseki,書籍を入荷(&N),Books in Stock (N),,Bücher auf Lager (N),C?r?i �n Stoc (N)
MDIForm1,MTenin,店員関係(&M),Employee Relationship (T),,Mitarbeiterverhältnis (T),Rela?ie Angajat (T)
MDIForm1,MTeen,店員を雇用(&T),Hire Employee (T),,Mitarbeiter einstellen (T),Angajeaz? (T)
MDIForm1,MKaiko,店員を解雇(&O),Fire Employee (O),,Mitarbeiter feuern (O),Concediaz? Angajat (O)
MDIForm1,MTeninSetup,店員の設定(&S),Employee Settings (S),,Mitarbeitereinstellungen (S),Set?ri Angajat (S)
MDIForm1,MEigyouHousin,お店の営業方針(&E),Store Sales Plan (E),,Laden-Verkaufsplan (E),Plan de V�nz?ri Libr?rie (E)
MDIForm1,MEigyou,お店のサービス内容(&E),Store Services (E),,Ladenservices (E),Serviciile Libr?riei (E)
MDIForm1,Menu MTatiyomi,立ち読み対策(&T),Browsing Policy (T),,Die Regeln durchsuchen (T),Reguli de Navigare (T)
MDIForm1,MHoken,保険に入る(&H),Get Insurance (H),,Versicherung bekommen (H),Ob?ine Asigurare (H)
MDIForm1,MSouzi,お店を掃除する(&S),Clean the Store (S),,Den Laden reinigen (S),Cur??? Libr?ria (S)
MDIForm1,MSenden,お店の宣伝をする(&S),Advertise the Store (S),,Für den Laden werben (S),F? Publicitate la Libr?rie (S)
MDIForm1,MTakarakuzi,宝くじを買う(&T),Set up Lottery (T),,Lotterie einrichten (T),Seteaz? loterie (T)
MDIForm1,MGinkou,銀行へ行く(&G),Go to the Bank (G),,Zur Bank gehen (G),Du-te la Banc? (G)
MDIForm1,MTaisin,耐震工事をする(&T),Earthquake Proofing (T),,Erdbebenschutz (T),Prevenirea Cutremurelor (T)
MDIForm1,MSyoubou,消防車を呼ぶ(&S),Call Fire Dept (S),,Feuerwehr rufen (S),Apeleaz? Pompierii (S)
MDIForm1,MKibo,お店の規模拡大(&K),Expand the Store (K),,Erweitere den Laden (K),Extinde Libr?ria (K)
MDIForm1,MInformation,情報(&I),Information (I),,Information (I),Informa?ii (I)
MDIForm1,MZaiko,在庫(&Z),Inventory (Z),,Inventar (Z),Inventar (Z)
MDIForm1,MZssiInfo,雑誌の在庫(&Z),Magazine Inventory (Z),,Zeitschriftinventar (Z),Inventar Reviste (Z)
MDIForm1,MSyosekiZaiko,書籍の在庫(&S),Book Inventory (S),,Bücherinventar (S),Inventar C?r?i (S)
MDIForm1,MGurahu,グラフ(&G),Graph (G),,Diagramm (G),Grafic (G)
MDIForm1,MRiekiGurahu,お店の利益グラフ(&R),Store Profit Graph (R),,Ladenprofitdiagramm (R),Grafic Profit Libr?rie (R)
MDIForm1,MBookGurahu,本の売り数グラフ(&G),Book Sales Graph (G),,Buchverkaufsdiagramm (G),Grafic V�nz?ri C?r?i (G)
MDIForm1,MGuest,お客さんの意見(&G),Customer Opinion (G),,Kundenmeinung (G),Opiniile Clien?ilor (G)
MDIForm1,MGRead,業界新聞を読む(&R),Read Biz Paper (R),,Wirtschaftszeitung lesen (R),Cite?te Ziarul de Afaceri (R)
MDIForm1,MNyuuka,入荷スケジュール(&N),Arrivals Schedule (N),,Ankunftsplan (N),Program Sosiri (N)
MDIForm1,MTinfor,店員情報(&T),Employee Info (T),,Mitarbeiter-Info (T),Info Angaja?i (T)
MDIForm1,MBookInfo,お店の利益(&S),Store Profit (S),,Ladenprofit (S),Profit Libr?rie (S)
MDIForm1,MBookSyousai,お店の詳細情報(&S),Detailed Store Info (S),,Detailierte Ladeninfo (S),Informa?ii Detaliate Libr?rie (S)
MDIForm1,MWindow,ウインドウ(&W),Window (W),,Fenster (W),Fereastr? (W)
MDIForm1,MSwitch,ウインドウ切り替え(&W),Window Switching (W),,Fenster wechseln (W),Schimbare Fereastr? (W)
MDIForm1,MSetup,設定(&S),Settings (S),,Einstellungen (S),Set?ri (S)
MDIForm1,MSound,効果音の設定(&S),Sound Settings (S),,Soundeinstellungen (S),Set?ri Sunet (S)
MDIForm1,MSoundYes,鳴らす(&Y),Ring (Y),,Klingeln (Y),Sun? (Y)
MDIForm1,MSoundNo,鳴らさない(&N),Don't ring (N),,Nicht klingeln (N),Nu suna (N)
MDIForm1,MKabegami,壁紙の設定(&K),Background Settings (K),,Hintergrundeinstellungen (K),Set?ri Fundal (K)
MDIForm1,MKabeTitle,タイトル(&T),Title (T),,Titel (T),Titlu (T)
MDIForm1,MKAbeMoyou,模様(&M),Design (M),,Design (M),Design (M)
MDIForm1,MKabeNothing,なし(&N),None (N),,Nichts (N),Niciuna (N)
MDIForm1,MSSetup,設定(&S),Settings (S),,Einstellungen (S),Set?ri (S)
MDIForm1,MGameSpeed,ゲームスピード(&G),Game Speed (G),,Geschwindigkeit (G),Vitez? Joc (G)
MDIForm1,MHelp,ヘルプ(&H),Help (H),,Hilfe (H),Ajutor (H)
MDIForm1,MHelpGame,ヘルプ(&H),Help (H),,Hilfe (H),Ajutor (H)
MDIForm1,MHelpVersion,バージョン情報(&A)...,Version Info (A),,Versionsinfo (A),Informa?ii Versiune (A)
